Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-03-20 14:00:00+00:00,86060.0703125,86481.3671875,85508.1328125,85508.1328125,354590720
2025-03-20 15:00:00+00:00,84720.1484375,86128.3671875,84666.453125,86128.3671875,862314496
2025-03-20 16:00:00+00:00,83713.7265625,84764.0859375,83685.1015625,84658.609375,876400640
2025-03-20 17:00:00+00:00,84018.6796875,84285.578125,83713.9609375,83730.6484375,0
2025-03-20 18:00:00+00:00,84094.703125,84250.9921875,83946.9375,84048.0859375,0
2025-03-20 19:00:00+00:00,84188.125,84356.421875,83923.765625,83996.6796875,0
2025-03-20 20:00:00+00:00,84499.8046875,84554.359375,84124.71875,84124.71875,0
2025-03-20 21:00:00+00:00,84311.0390625,84558.46875,84241.109375,84500.71875,0
2025-03-20 22:00:00+00:00,84097.5,84438.3828125,83990.3671875,84295.859375,0
2025-03-20 23:00:00+00:00,84251.8828125,84278.9453125,83910.2421875,84102.2109375,0
2025-03-21 00:00:00+00:00,84428.0,84479.0859375,84164.03125,84175.25,0
2025-03-21 01:00:00+00:00,84726.2421875,84726.2421875,84344.109375,84443.7578125,0
2025-03-21 02:00:00+00:00,84637.2109375,84768.9140625,84479.25,84724.390625,0
2025-03-21 03:00:00+00:00,84417.5390625,84633.65625,84263.7421875,84633.65625,0
2025-03-21 04:00:00+00:00,84647.5703125,84778.296875,84416.515625,84416.515625,0
2025-03-21 05:00:00+00:00,84367.3359375,84632.34375,84331.09375,84632.34375,0
2025-03-21 06:00:00+00:00,84150.03125,84431.1796875,84083.5,84419.546875,66021376
2025-03-21 07:00:00+00:00,83877.890625,84242.3828125,83756.0390625,84158.6484375,377729024
2025-03-21 08:00:00+00:00,83972.3046875,84068.21875,83729.7890625,83893.7421875,0
2025-03-21 09:00:00+00:00,84069.890625,84238.3203125,83825.90625,83967.5625,60403712
2025-03-21 10:00:00+00:00,84155.7421875,84240.5,83895.7890625,84096.0703125,0
2025-03-21 11:00:00+00:00,84026.7890625,84134.21875,83908.984375,84134.21875,0
2025-03-21 12:00:00+00:00,83387.71875,84273.2109375,83387.71875,84007.5078125,0
2025-03-21 13:00:00+00:00,83999.9453125,83999.9453125,83223.2265625,83430.2890625,870658048
2025-03-21 14:00:00+00:00,84093.96875,84165.28125,83647.5,83894.25,0
2025-03-21 15:00:00+00:00,83559.28125,84213.953125,83546.0546875,84213.953125,0
2025-03-21 16:00:00+00:00,84001.921875,84025.796875,83360.9140625,83541.1953125,0
2025-03-21 17:00:00+00:00,83973.1640625,84098.7734375,83721.328125,84053.9921875,0
2025-03-21 18:00:00+00:00,84111.453125,84325.0,83904.5078125,83980.6328125,0
2025-03-21 19:00:00+00:00,83975.4453125,84120.0859375,83766.9921875,84065.640625,0
2025-03-21 20:00:00+00:00,84184.140625,84200.65625,83840.1328125,83943.96875,0
2025-03-21 21:00:00+00:00,84289.90625,84519.140625,84161.1171875,84188.34375,90920960
2025-03-21 22:00:00+00:00,84143.8671875,84372.1875,84070.140625,84372.1875,0
2025-03-21 23:00:00+00:00,84041.2734375,84178.765625,84019.125,84143.6796875,0
2025-03-22 00:00:00+00:00,84177.5,84205.2578125,84027.4921875,84038.984375,0
2025-03-22 01:00:00+00:00,84048.125,84279.15625,83984.7421875,84175.609375,0
2025-03-22 02:00:00+00:00,84159.40625,84220.9609375,84002.7421875,84035.484375,0
2025-03-22 03:00:00+00:00,84229.65625,84264.4296875,84121.421875,84157.7578125,0
2025-03-22 04:00:00+00:00,84342.1015625,84352.7265625,84200.5546875,84228.1953125,0
2025-03-22 05:00:00+00:00,84286.890625,84397.78125,84258.3125,84361.6015625,0
2025-03-22 06:00:00+00:00,84287.4609375,84346.3671875,84155.9765625,84300.0625,0
2025-03-22 07:00:00+00:00,84237.8515625,84349.921875,84200.4453125,84302.453125,0
2025-03-22 08:00:00+00:00,84203.7578125,84258.1953125,84145.53125,84254.1953125,0
2025-03-22 09:00:00+00:00,84372.5,84502.8515625,84222.640625,84230.2109375,0
2025-03-22 10:00:00+00:00,84398.34375,84424.8671875,84334.2734375,84334.2734375,0
2025-03-22 11:00:00+00:00,84221.40625,84396.6640625,84215.2578125,84396.6640625,0
2025-03-22 12:00:00+00:00,84212.9921875,84266.828125,84167.125,84213.5234375,0
2025-03-22 13:00:00+00:00,84144.578125,84212.484375,84048.8671875,84212.484375,0
2025-03-22 14:00:00+00:00,84001.359375,84174.2109375,84001.359375,84164.359375,0
2025-03-22 15:00:00+00:00,84091.9453125,84116.21875,83972.9921875,83999.2265625,0
2025-03-22 16:00:00+00:00,84132.2265625,84132.2265625,84042.0078125,84066.7890625,0
2025-03-22 17:00:00+00:00,84248.765625,84248.765625,84116.171875,84129.046875,0
2025-03-22 18:00:00+00:00,84255.7421875,84289.9296875,84188.0234375,84221.6796875,0
2025-03-22 19:00:00+00:00,84174.2734375,84267.3359375,84171.5234375,84257.8125,0
2025-03-22 20:00:00+00:00,84009.46875,84201.078125,84009.46875,84170.5703125,0
2025-03-22 21:00:00+00:00,84030.8125,84075.1796875,83886.46875,83912.4140625,0
2025-03-22 22:00:00+00:00,83952.34375,84058.3515625,83950.8359375,84010.0546875,0
2025-03-22 23:00:00+00:00,83811.0,83960.375,83684.5546875,83960.375,23847936
2025-03-23 00:00:00+00:00,83996.5859375,84041.4140625,83812.1171875,83831.8359375,0
